"ID";"SBI2008PartBedrijvenOverheid";"Perioden";"VacaturesSeizoengecorrigeerd_1"
"0";"300025";"1997KW01";"    83.8"
"1";"300025";"1997KW02";"    86.2"
"2";"300025";"1997KW03";"   107.6"
"3";"300025";"1997KW04";"   122.9"
"4";"300025";"1998KW01";"   128.0"
"5";"300025";"1998KW02";"   136.9"
"6";"300025";"1998KW03";"   145.3"
"7";"300025";"1998KW04";"   144.7"
"8";"300025";"1999KW01";"   152.1"
"9";"300025";"1999KW02";"   179.4"
"10";"300025";"1999KW03";"   187.7"
"11";"300025";"1999KW04";"   192.1"
"12";"300025";"2000KW01";"   209.3"
"13";"300025";"2000KW02";"   201.0"
"14";"300025";"2000KW03";"   201.2"
"15";"300025";"2000KW04";"   213.9"
"16";"300025";"2001KW01";"   209.7"
"17";"300025";"2001KW02";"   202.4"
"18";"300025";"2001KW03";"   187.8"
"19";"300025";"2001KW04";"   173.7"
"20";"300025";"2002KW01";"   172.3"
"21";"300025";"2002KW02";"   148.0"
"22";"300025";"2002KW03";"   129.8"
"23";"300025";"2002KW04";"   129.8"
"24";"300025";"2003KW01";"   117.9"
"25";"300025";"2003KW02";"   112.1"
"26";"300025";"2003KW03";"    94.0"
"27";"300025";"2003KW04";"   102.4"
"28";"300025";"2004KW01";"   115.8"
"29";"300025";"2004KW02";"   122.9"
"30";"300025";"2004KW03";"   120.9"
"31";"300025";"2004KW04";"   128.4"
"32";"300025";"2005KW01";"   148.8"
"33";"300025";"2005KW02";"   141.3"
"34";"300025";"2005KW03";"   163.7"
"35";"300025";"2005KW04";"   165.3"
"36";"300025";"2006KW01";"   187.3"
"37";"300025";"2006KW02";"   209.7"
"38";"300025";"2006KW03";"   230.1"
"39";"300025";"2006KW04";"   230.3"
"40";"300025";"2007KW01";"   234.9"
"41";"300025";"2007KW02";"   238.3"
"42";"300025";"2007KW03";"   246.8"
"43";"300025";"2007KW04";"   249.3"
"44";"300025";"2008KW01";"   247.0"
"45";"300025";"2008KW02";"   244.9"
"46";"300025";"2008KW03";"   246.7"
"47";"300025";"2008KW04";"   197.4"
"48";"300025";"2009KW01";"   153.9"
"49";"300025";"2009KW02";"   128.4"
"50";"300025";"2009KW03";"   130.7"
"51";"300025";"2009KW04";"   125.4"
"52";"300025";"2010KW01";"   115.6"
"53";"300025";"2010KW02";"   117.5"
"54";"300025";"2010KW03";"   125.3"
"55";"300025";"2010KW04";"   128.3"
"56";"300025";"2011KW01";"   135.1"
"57";"300025";"2011KW02";"   134.7"
"58";"300025";"2011KW03";"   134.1"
"59";"300025";"2011KW04";"   122.7"
"60";"300025";"2012KW01";"   117.4"
"61";"300025";"2012KW02";"   109.3"
"62";"300025";"2012KW03";"   106.6"
"63";"300025";"2012KW04";"   101.7"
"64";"300025";"2013KW01";"    96.3"
"65";"300025";"2013KW02";"    91.3"
"66";"300025";"2013KW03";"    95.1"
"67";"300025";"2013KW04";"    96.5"
"68";"300025";"2014KW01";"   104.1"
"69";"300025";"2014KW02";"   107.5"
"70";"300025";"2014KW03";"   113.4"
"71";"300025";"2014KW04";"   118.8"
"72";"300025";"2015KW01";"   124.9"
"73";"300025";"2015KW02";"   130.3"
"74";"300025";"2015KW03";"   132.9"
"75";"300025";"2015KW04";"   142.7"
"76";"300025";"2016KW01";"   149.5"
"77";"300025";"2016KW02";"   154.8"
"78";"300025";"2016KW03";"   162.0"
"79";"300025";"2016KW04";"   171.2"
"80";"300025";"2017KW01";"   185.7"
"81";"300025";"2017KW02";"   204.7"
"82";"300025";"2017KW03";"   213.7"
"83";"300025";"2017KW04";"   226.5"
"84";"300025";"2018KW01";"   234.6"
"85";"300025";"2018KW02";"   251.0"
